,user,time_unix,weight_dem,weight_rep
104,Tim Kaine,1472073810,0.99740964,0.0025903448
105,Bernie Sanders,1473976777,0.67610055,0.3238995
106,Hillary Clinton,1474301535,0.9352376,0.0647624
107,Hillary Clinton,1476931447,0.78646606,0.213534
108,Tim Kaine,1475851812,0.18638729,0.8136127
109,Tim Kaine,1471892428,0.99377465,0.0062253713
110,Bernie Sanders,1476462601,0.4725005,0.52749956
111,Bernie Sanders,1472091312,0.48313355,0.5168665
112,Bernie Sanders,1475687856,0.99853253,0.0014674081
113,Hillary Clinton,1474302625,0.97715145,0.022848483
114,Hillary Clinton,1472149671,0.99205035,0.007949689
115,Hillary Clinton,1476931288,0.83217293,0.16782705
116,Martin O'Malley,1471959200,0.8431272,0.15687284
117,Hillary Clinton,1474302509,0.6985959,0.3014041
118,Tim Kaine,1477847076,0.2894526,0.71054745
119,Bernie Sanders,1475852028,0.68506247,0.3149375
120,Bernie Sanders,1477840441,0.9999043,9.575317e-05
121,Bernie Sanders,1473112927,0.66673976,0.33326027
122,Bernie Sanders,1475851407,0.99907184,0.0009281536
123,Hillary Clinton,1474303036,0.67486966,0.3251304
124,Martin O'Malley,1475638841,0.0046933577,0.9953067
125,Bernie Sanders,1475851495,0.97472113,0.02527887
126,Bernie Sanders,1471959153,0.6994632,0.30053684
127,Bernie Sanders,1477853460,0.9943246,0.0056753
128,Hillary Clinton,1473880736,0.2613344,0.7386655
129,Hillary Clinton,1474302981,0.34447968,0.6555203
130,Martin O'Malley,1475639611,0.9982084,0.0017915468
131,Hillary Clinton,1475851409,0.0016911929,0.9983088
132,Hillary Clinton,1476932622,0.06304388,0.93695617
133,Martin O'Malley,1471959211,0.41133985,0.5886601
134,Hillary Clinton,1475640376,0.36033645,0.6396636
135,Tim Kaine,1477871963,0.9999881,1.1930562e-05
136,Bernie Sanders,1472149334,0.9999988,1.2124634e-06
137,Bernie Sanders,1477856641,0.6760779,0.3239222
138,Hillary Clinton,1474302913,0.9986627,0.0013372353
139,Bernie Sanders,1472089899,0.5218288,0.47817123
140,Martin O'Malley,1475639207,0.08038987,0.9196101
141,Hillary Clinton,1476321226,0.9999734,2.6539748e-05
142,Hillary Clinton,1475598495,0.5775806,0.42241943
143,Hillary Clinton,1473216808,0.9014552,0.09854476
144,Bernie Sanders,1477865161,0.15995388,0.8400461
145,Tim Kaine,1472149832,0.22156698,0.77843297
146,Hillary Clinton,1476461728,0.9024333,0.09756676
147,Tim Kaine,1475543008,0.9785801,0.02141993
148,Hillary Clinton,1474302953,0.56202,0.43798003
149,Bernie Sanders,1473880386,0.93995,0.060049996
151,Hillary Clinton,1474932861,0.9546261,0.04537388
152,Hillary Clinton,1476931793,0.9982482,0.0017518204
153,Hillary Clinton,1473886650,0.24838194,0.7516181
154,Bernie Sanders,1471530937,0.942197,0.057803027
155,Tim Kaine,1471531096,0.85559493,0.144405
156,Hillary Clinton,1473975606,0.05901381,0.9409862
157,Hillary Clinton,1474250726,0.99958175,0.00041826325
158,Tim Kaine,1476932414,0.9996265,0.00037349478
159,Bernie Sanders,1475543160,0.9972631,0.0027369198
160,Bernie Sanders,1475688839,0.99985254,0.00014738578
161,Bernie Sanders,1475597760,0.95915693,0.04084312
162,Hillary Clinton,1471892254,0.72460383,0.27539623
163,Hillary Clinton,1474303151,0.9999888,1.1170652e-05
164,Hillary Clinton,1473112762,0.9955445,0.004455557
165,Hillary Clinton,1473880595,0.8356792,0.16432084
166,Tim Kaine,1472167447,0.9185036,0.08149635
167,Bernie Sanders,1472089775,0.9998653,0.00013469781
168,Bernie Sanders,1477847101,0.32509938,0.6749006
169,Bernie Sanders,1473886783,0.9813954,0.018604545
170,Martin O'Malley,1471959186,0.90197885,0.098021194
171,Hillary Clinton,1475795865,0.99976736,0.00023263713
172,Bernie Sanders,1477843205,0.2741344,0.7258656
173,Bernie Sanders,1475851900,0.9745412,0.02545877
174,Bernie Sanders,1473032506,0.8556127,0.14438733
175,Hillary Clinton,1473298844,0.95323,0.04677003
176,Hillary Clinton,1474302859,0.99944645,0.000553536
177,Hillary Clinton,1472089744,0.046630967,0.953369
178,Bernie Sanders,1474932129,0.5250312,0.47496882
179,Bernie Sanders,1472149617,0.886242,0.113758065
180,Hillary Clinton,1474115944,0.97996026,0.020039666
181,Bernie Sanders,1475796660,0.07871359,0.92128646
182,Hillary Clinton,1476932059,0.87306184,0.12693816
183,Bernie Sanders,1473605720,0.9999403,5.9733815e-05
184,Bernie Sanders,1472090365,0.66999435,0.33000568
185,Hillary Clinton,1475707052,0.23156373,0.76843625
186,Hillary Clinton,1476931722,0.908941,0.09105903
187,Hillary Clinton,1474302709,0.7593037,0.24069633
188,Bernie Sanders,1472089707,0.311041,0.688959
189,Tim Kaine,1477854791,0.8211164,0.17888363
190,Hillary Clinton,1476320612,0.8390939,0.16090606
191,Hillary Clinton,1477274386,0.9954464,0.0045536337
192,Hillary Clinton,1477918154,0.99762374,0.0023762668
193,Hillary Clinton,1468016515,0.27656648,0.7234335
194,Martin O'Malley,1477877850,0.9740443,0.025955651
195,Hillary Clinton,1477848541,0.67864823,0.3213517
196,Hillary Clinton,1467919198,0.9973525,0.002647529
197,Bernie Sanders,1475879460,0.7556896,0.24431036
198,Hillary Clinton,1477864879,0.9817316,0.018268352
199,Hillary Clinton,1477835230,0.9998672,0.0001327325
200,Hillary Clinton,1468272521,0.8522058,0.14779411
201,Hillary Clinton,1468015613,0.2656952,0.7343048
202,Martin O'Malley,1467925069,1.0,1.2671445e-13
203,Hillary Clinton,1468177447,0.89482504,0.105174944
204,Bernie Sanders,1477839479,0.048168987,0.95183104
205,Hillary Clinton,1468015915,0.8681392,0.13186075
206,Hillary Clinton,1468190638,0.33465114,0.6653489
207,Hillary Clinton,1468016036,0.18424796,0.815752
208,Hillary Clinton,1473306058,0.9999558,4.421777e-05
209,Bernie Sanders,1472588004,0.9205188,0.079481184
210,Hillary Clinton,1468205323,0.9111771,0.088822916
211,Hillary Clinton,1468016118,0.0027004622,0.9972996
212,Bernie Sanders,1477840895,0.9944681,0.0055319453
213,Hillary Clinton,1468016491,0.9997646,0.0002353296
214,Hillary Clinton,1468262026,0.037479777,0.9625202
215,Hillary Clinton,1468259170,0.044427354,0.9555726
216,Hillary Clinton,1468284573,0.98589176,0.014108213
217,Hillary Clinton,1477868171,0.95668703,0.043313004
218,Hillary Clinton,1468331673,0.21382001,0.78617996
219,Hillary Clinton,1477847038,0.7463558,0.25364423
220,Hillary Clinton,1476147688,0.0065506813,0.9934494
221,Hillary Clinton,1468242860,0.0069790925,0.99302095
222,Hillary Clinton,1468017256,0.9999062,9.38101e-05
223,Bernie Sanders,1472586696,0.9869833,0.01301671
224,Hillary Clinton,1477851060,0.89999264,0.10000738
225,Hillary Clinton,1474385287,0.9654487,0.034551267
226,Bernie Sanders,1474383601,0.91416115,0.08583886
227,Hillary Clinton,1468026059,0.6387072,0.36129275
228,Hillary Clinton,1468016538,0.9970029,0.0029970845
229,Hillary Clinton,1477850528,0.9998431,0.00015689242
230,Hillary Clinton,1468106034,0.8727152,0.12728482
231,Hillary Clinton,1477878962,0.99999344,6.566906e-06
232,Hillary Clinton,1468016088,0.9062969,0.09370315
233,Hillary Clinton,1474384709,0.58017385,0.41982612
234,Martin O'Malley,1467950954,0.73985755,0.26014245
235,Hillary Clinton,1468016663,0.25766933,0.7423307
236,Martin O'Malley,1467848720,0.99923337,0.0007666982
237,Hillary Clinton,1477872074,0.035806183,0.9641939
238,Hillary Clinton,1467945792,0.9707201,0.029279875
239,Tim Kaine,1476043695,0.91971153,0.080288485
240,Hillary Clinton,1468016612,0.965451,0.034548964
241,Hillary Clinton,1467926628,0.004100807,0.99589914
242,Tim Kaine,1474383860,0.10147013,0.8985298
243,Hillary Clinton,1467983162,0.37088177,0.6291182
244,Hillary Clinton,1468253325,0.9945564,0.0054435614
245,Hillary Clinton,1476042251,0.6927929,0.30720708
246,Hillary Clinton,1468163400,0.9929993,0.0070007355
247,Hillary Clinton,1468087891,0.9943089,0.005691118
248,Hillary Clinton,1477863539,0.99954045,0.00045963598
249,Hillary Clinton,1468016848,0.22066738,0.7793326
250,Hillary Clinton,1468290603,0.9995759,0.0004241196
251,Hillary Clinton,1477851565,0.06471078,0.9352892
252,Hillary Clinton,1477873052,0.92624986,0.073750064
253,Hillary Clinton,1477855539,0.9990049,0.000995103
254,Hillary Clinton,1473815804,0.59539,0.40461004
255,Hillary Clinton,1468090550,0.99968565,0.0003144317
256,Hillary Clinton,1468186442,0.9637305,0.036269475
257,Hillary Clinton,1470866463,0.83473235,0.16526766
258,Hillary Clinton,1468276237,0.9999999,1.7771457e-07
259,Hillary Clinton,1477851220,1.0,1.05027407e-19
260,Hillary Clinton,1468287305,0.07536125,0.9246388
261,Martin O'Malley,1473381862,0.16789412,0.83210593
262,Hillary Clinton,1468278099,0.99977106,0.00022889633
263,Hillary Clinton,1477861958,0.91192096,0.08807903
264,Hillary Clinton,1477845126,0.9437406,0.056259405
265,Hillary Clinton,1470867131,0.9108529,0.08914708
266,Martin O'Malley,1467893812,0.16739689,0.8326031
267,Hillary Clinton,1468257561,0.99999905,9.881733e-07
268,Hillary Clinton,1477851501,0.97562045,0.024379544
269,Hillary Clinton,1473268147,0.25209376,0.74790627
270,Hillary Clinton,1468016933,0.18741232,0.81258774
271,Hillary Clinton,1468245737,0.115763865,0.8842361
272,Hillary Clinton,1477838598,0.87904274,0.120957226
273,Hillary Clinton,1473382986,0.96540225,0.03459777
274,Hillary Clinton,1468114321,0.43536392,0.5646361
275,Hillary Clinton,1468197279,0.43605894,0.56394106
276,Hillary Clinton,1467909376,0.23493023,0.76506984
277,Hillary Clinton,1468193911,0.15276755,0.84723246
278,Martin O'Malley,1468328689,0.57718074,0.4228193
279,Hillary Clinton,1477875871,0.9196179,0.080382176
280,Martin O'Malley,1467925000,0.99999785,2.096452e-06
281,Hillary Clinton,1468017086,0.99512994,0.0048700324
282,Hillary Clinton,1467934923,0.12558144,0.8744186
283,Hillary Clinton,1473906971,0.99845076,0.0015492671
284,Hillary Clinton,1468097943,0.1035798,0.89642024
285,Hillary Clinton,1468238947,0.9718269,0.028173013
286,Hillary Clinton,1477852243,0.9999293,7.074538e-05
287,Hillary Clinton,1468016389,0.92530525,0.07469483
288,Martin O'Malley,1467985933,0.14924352,0.8507565
289,Hillary Clinton,1477851326,0.9975375,0.002462548
290,Hillary Clinton,1468079186,0.8644507,0.13554929
291,Hillary Clinton,1467823747,0.23047715,0.7695228
292,Bernie Sanders,1468327985,0.95611566,0.043884315
293,Hillary Clinton,1467747992,0.99998844,1.1595715e-05
294,Hillary Clinton,1467823958,0.99220556,0.007794367
295,Hillary Clinton,1467761361,0.99844736,0.0015526325
296,Bernie Sanders,1468080766,0.66956174,0.33043826
297,Hillary Clinton,1467841397,0.99673414,0.0032658426
298,Bernie Sanders,1468038446,0.9952551,0.0047449297
299,Bernie Sanders,1468252567,0.8116109,0.18838915
300,Hillary Clinton,1467820437,0.99404514,0.0059548873
301,Hillary Clinton,1467748677,0.5888926,0.41110745
302,Hillary Clinton,1467748061,0.85695153,0.14304847
303,Hillary Clinton,1467749832,0.9440097,0.055990282
304,Hillary Clinton,1467834702,0.9998809,0.000119050936
305,Bernie Sanders,1468122680,0.999479,0.00052103924
306,Bernie Sanders,1468170124,0.96872306,0.031276923
307,Hillary Clinton,1467821415,0.9973201,0.0026799124
308,Hillary Clinton,1467845985,0.99996054,3.9486546e-05
309,Bernie Sanders,1468256523,0.9981578,0.001842213
310,Hillary Clinton,1467858967,0.98866487,0.011335125
311,Hillary Clinton,1467822530,0.9153064,0.08469366
